,id,title,type,description,release_year,age_certification,age_certification.1,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,documentation,drama,comedy,thriller,crime,romance,action,GenreCt,OtherGenr,US,IN,GB,JP,KR,FR,ES,CA,MX,OtherCountry,SciFi War,Stand-up Comedy,Family Drama,Murder Mystery,Holidays,Top Secret,War Documentary,College Life,Father & Son Drama,Adventure,Love Story,Gangster
0,ts300399,Five Came Back: The Reference Films,SHOW,"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back.""",1945,TV-MA,NC-17,51,['documentation'],['US'],1.0,,,,0.6,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.3889900787367102,1.3889414176796562,1.3889892794990029,1.3888888889462239,18.055561504881652,25.241817683806435,44.20211041173206,1.3888889212724358,1.3889577967179807,1.3888909099680535,1.3889025592040893,1.3890605475556974
1,tm84618,Taxi Driver,MOVIE,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,R,R,114,"['drama', 'crime']",['US'],,tt0075314,8.2,808582.0,40.965,8.179,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0.6944838960632289,32.37625546500683,0.6944544331852297,0.6944587711611261,0.6945063200977734,0.6944627212987045,60.67908792071696,0.6944557635437938,0.6944764415109015,0.6944482014053571,0.6944613517085507,0.6944487143015426
2,tm154986,Deliverance,MOVIE,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",1972,R,R,109,"['drama', 'action', 'thriller', 'european']",['US'],,tt0068473,7.7,107673.0,10.01,7.3,0,1,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0.8333482884236354,0.8333657603881458,0.8333384825501481,0.8333417482269687,82.96793579454892,0.8333728121450525,0.833340493342827,8.698561540966699,0.8333454746950945,0.8333542255959463,0.8333527617092872,0.8333426174072603
3,tm127384,Monty Python and the Holy Grail,MOVIE,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,PG,PG,91,"['fantasy', 'action', 'comedy']",['GB'],,tt0071853,8.2,534486.0,15.461,7.811,0,0,1,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,21.32371876557364,0.5556109197508352,0.5555569277882144,21.472731440369923,0.555556991971662,0.5555768023550339,0.5555993325088918,0.5555842625941783,19.64636188873554,0.555613695733771,33.11250380851771,0.5555851641005962
4,tm120801,The Dirty Dozen,MOVIE,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",1967,,OTHERS,150,"['war', 'action']","['GB', 'US']",,tt0061578,7.7,72662.0,20.398,7.6,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0.5555590920095432,0.5555607193727126,0.5555672599970907,0.5555555555719841,0.5555586935021288,93.88878079812568,0.5556222077667966,0.5555566898457952,0.5555608006567954,0.5555562718546623,0.5555572002861144,0.555564711010689
5,ts22164,Monty Python's Flying Circus,SHOW,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,TV-14,PG,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,73424.0,17.617,8.306,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.6666669420761737,81.6665269226243,1.6666742190817052,1.6666666666965424,1.666672280535934,1.666708807080093,1.666707995926988,1.6666757772259344,1.6666667853922845,1.6666667005114502,1.6666999431718437,1.6666669596767731
6,tm70993,Life of Brian,MOVIE,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,R,R,94,['comedy'],['GB'],,tt0079470,8.0,395024.0,17.77,7.8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.6944838609942645,0.6944530877002303,0.6944591216655861,0.6944562892814111,0.6944457076908069,0.6944628313683434,0.6944860985057494,0.6944465273869426,32.378627808453984,0.6944448611391281,60.67676416749273,0.6944696383208232
7,tm14873,Dirty Harry,MOVIE,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,R,R,102,"['thriller', 'action', 'crime']",['US'],,tt0066999,7.7,155051.0,12.817,7.5,0,0,0,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0.7575757619092438,10.053053669220214,28.6904167939473,45.347396828992,9.84846932506623,0.7575774918274633,0.7575811586719585,0.757588979965725,0.757592817577145,0.7575757576561406,0.757581019857455,0.7575903953091425
8,tm119281,Bonnie and Clyde,MOVIE,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,R,R,110,"['crime', 'drama', 'action']",['US'],,tt0061418,7.7,112048.0,15.687,7.5,0,1,0,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0.9259296953098869,0.9259309263227273,21.197557701496137,0.925926889766958,0.9259282455499028,69.54304850630938,0.9259428928944519,0.925928362116154,0.9259733356163486,0.9259461492773249,0.9259601388656221,0.9259271564751143
9,tm98978,The Blue Lagoon,MOVIE,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,R,R,104,"['romance', 'action', 'drama']",['US'],,tt0080453,5.8,69844.0,50.324,6.156,0,1,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0.4629729510151349,0.46296503933509586,0.4629817269792424,0.4629643783263853,0.4629645638365677,0.46296669720102235,0.4629645776733032,0.4629680050833847,0.46298797012787773,74.12615702525147,21.24413547830204,0.4629715868684828
